#,Query,Answer,Intent,Kind,URL,Confidence
1,whens the next bluebell workshops and whats the cost,"The workshop costs **£35**. This includes all tuition, guidance, and any materials provided during the session.",events,event,https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops,0.95
2,when is the next devon workshop,"The next workshop is scheduled for **19 February 2026**. Hartland Quay - Landscape Photography Devon Workshop - Join me for this photo workshop to the best coastal and dramatic parts of Devon. Summary",events,event,https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay,0.95
3,what is your next workshop date and where is it,"The workshop is held at **Coventry**. Full location details and meeting instructions will be provided when you book.",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
4,when are your next Autumn workshops and where are they?,"The workshop is held at **Coventry**. Full location details and meeting instructions will be provided when you book.",events,event,https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops,0.95
5,How much is a residential photography course and does it include B&B,"The workshop costs **£395**. This includes all tuition, guidance, and any materials provided during the session.",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
6,What tripod do you recommend,"**THE BEST PRODUCT PHOTOGRAPHY TRIPOD: REVIEW AND FEATURES**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/best-product-photography-tripod*

",advice,article,https://www.alanranger.com/blog-on-photography/recommended-travel-lightweight-tripods,0.9
7,Do you I get a certificate with the photography course,"**RPS Courses - Independent RPS Mentoring for RPS Distinctions** — £395

>RPS Courses - Independant RPS Mentoring for RPS Distinctions - Start anytime, you select six online Zoom sessions within twelv",events,event,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,0.95
8,What sort of camera do I need for your camera course,"**Beginners Photography Course | 3 Weekly Evening Classes** — £150

Beginners Photography Course Coventry Summary - Camera Courses For Beginners - Key Information Location: 45 Hathaway Road, Tile Hill",events,event,https://www.alanranger.com/photography-services-near-me/beginners-photography-course,0.95
9,Do I need a laptop for the lightroom course,"**Lightroom Courses for Beginners Photo Editing - Coventry** — £150

>For those who want to implement the best workflow for image management and all the dos and don'ts of post-production with these Ph",events,event,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,0.95
10,Do you do astrophotography workshops,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
11,How do I get personalised feedback on my images,"Here are Alan's guides that match your question:
",advice,article,https://www.alanranger.com/blog-on-photography/how-to-make-moving-photographs,0.9
12,Is the online photography course really free,"/ 0  /searchBack photography courses coventry  Which Photography Courses Are Best For Me? Course Calendar  Beginners Photography Course  Free Online Photography Course  Beginners Lightroom Course  RPS",advice,landing,https://www.alanranger.com/free-online-photography-course,0.9
13,Can my 14yr old attend your workshop,"**The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July** — £35

Elevate Your Garden Photography Skills With Garden",events,event,https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop,0.95
14,What is long exposure and how can I find out more about it,"**05 WHAT IS MANUAL EXPOSURE IN PHOTOGRAPHY:GUIDE FOR BEGINNER**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-manual-exposure-in-photography,0.9
15,My pictures never seem sharp.  Can you advise on what I am doing wrong,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/how-to-improve-your-woodland-pictures,0.9
16,Who is Alan Ranger and what is his photographic background?,"**11 WHAT IS WHITE BALANCE IN PHOTOGRAPHY: A BEGINNERS GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-white-balance-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-white-balance-in-photography,0.9
17,Where is Alan Ranger based?,"**11 WHAT IS WHITE BALANCE IN PHOTOGRAPHY: A BEGINNERS GUIDE**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-white-balance-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/what-is-white-balance-in-photography,0.9
18,What types of photography services do you offer?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/5-stages-to-improve-your-photography,0.9
19,What is “Pick N Mix” in the payment plans?,"**WHAT IS FRAMING IN PHOTOGRAPHY: A GUIDE FOR BEGINNERS**

*From Alan's blog: https://www.alanranger.com/blog-on-photography/what-is-framing-in-photography*

",advice,article,https://www.alanranger.com/blog-on-photography/photographers-rights-in-the-uk,0.9
20,How can I contact you or book a discovery call?,"**Contact Information**:
- **Address**: 45 Hathaway Road, Coventry, CV4 9HW, United Kingdom
- **Phone**: +44 781 701 7994
- **Email**: info@alanranger.com
- **Hours**: Monday-Sunday, 9am-5pm

",advice,article,https://www.alanranger.com/photography-services-near-me/photography-foundation-course-ebook,0.9
