"query","event_url","product_url","pill_url","event_ok","product_ok","pill_ok","status"
"whens the next bluebell workshops and whats the cost","https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-20","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops","True","True","True","OK"
"when is the next devon workshop","https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-devon-seascapes-ynfcl","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay","True","True","True","OK"
"when are your next Autumn workshops and where are they?","https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops","True","True","True","OK"
"How much is a residential photography course and does it include B&B","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"Do you do astrophotography workshops","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
"Can my 14yr old attend your workshop","","","","False","False","False","FAIL"
"Courses, Workshops & Tuition","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"11. What courses do you offer for complete beginners?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"12. Do you run evening classes in Coventry?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"13. How many weeks is the beginners? photography course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"15. What topics are covered in the 5-week beginner course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"16. What if I miss one of the weekly classes?can I make it up?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"19. Do you offer residential workshops or multi-day field trips?","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
"20. How many students per workshop / class?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"23. Do you offer Lightroom / post-processing courses?","https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry","True","True","True","OK"
"25. Are there any prerequisites for advanced courses?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"36. How do I book a course or workshop?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"39. What happens if a course is canceled due to low enrolment or weather?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"42. If a workshop is outdoors, what happens in bad weather?","","","","False","False","False","FAIL"
"44. How early should I arrive before a class or workshop begins?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"73. How long are your workshops?","https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-kenilworth-crackley-woods","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth","https://www.alanranger.com/photo-workshops-uk/long-exposure-photography-kenilworth","True","True","True","OK"
"74. Do you provide course materials?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"76. What happens if it rains during outdoor workshops?","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
"82. What landscape photography workshops do you run near me?","https://www.alanranger.com/photographic-workshops-near-me/suffolk-landscape-photography-workshop","https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops","https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops","True","True","True","OK"
"83. How do I book a one-day workshop?","","","","False","False","False","FAIL"
"84. Do you run workshops in the Lake District or Wales?","https://www.alanranger.com/photographic-workshops-near-me/wales-photography-workshop-vyrnwy-pistyll-rhaeadr","https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr","https://www.alanranger.com/photo-workshops-uk/wales-photography-workshop-pistyll-rhaeadr","True","True","True","OK"
"85. What's included in your photography workshops?","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
"86. Are your workshops suitable for beginners?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"87. How many people are in each workshop group?","","","","False","False","False","FAIL"
"89. What happens if it rains during a workshop?","","","","False","False","False","FAIL"
"91. Do you offer weekend or evening workshops?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"93. What will I learn in the ""Get Off Auto"" course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"94. Are the beginners' classes suitable for DSLR and mirrorless users?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"96. How long does the beginners' course last?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"97. Do I get feedback or assignments during the course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"98. Can I repeat a class if I miss one?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"99. What's the difference between the lessons and workshops?","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
"100. What level should I be before taking the intermediate course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"104. Can the gift voucher be used for any workshop or course?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"107. Can I pay for a course in instalments?","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","True","True","True","OK"
"123. What's your refund policy for workshops or lessons?","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","True","True","True","OK"
