event_url,subtype,product_url,product_title,price_gbp,availability,date_start,date_end,event_location,map_method,confidence
https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunset,workshop,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,"LAVENDER FIELD Photography Workshop - Gloucestershire July",150,InStock,"2024-06-08 19:15:00+00","2024-06-08 21:45:00+00",Worcestershire,auto,
https://www.alanranger.com/photographic-workshops-near-me/poppy-fields-photography-workshop-sunrise,workshop,https://www.alanranger.com/photo-workshops-uk/photography-workshops-lavender-fields,"LAVENDER FIELD Photography Workshop - Gloucestershire July",150,InStock,"2024-06-09 05:00:00+00","2024-06-09 07:30:00+00",Worcestershire,auto,
https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-sunrise-heathers,workshop,https://www.alanranger.com/photo-workshops-uk/peak-district-heather-photography-workshop,"PEAK DISTRICT HEATHER Photography Workshops - 16-17 Aug",145,InStock,"2024-08-24 05:15:00+00","2024-08-24 09:30:00+00","Staffordshire - Upper Hulme",auto,
https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-leamington-oakley-wood,workshop,https://www.alanranger.com/photo-workshops-uk/woodland-photography-walk-warwickshire,"WARWICKSHIRE Woodland PHOTOGRAPHY WALKS - Monthly - 2hrs",15,InStock,"2025-03-21 09:30:00+00","2025-03-21 11:30:00+00","Leamington Spa",auto,
https://www.alanranger.com/photographic-workshops-near-me/somerset-photography-workshop,workshop,https://www.alanranger.com/photo-workshops-uk/somerset-landscape-photography-workshops,"SOMERSET Landscape Photography Workshops 9 - 11 May 2025",895,InStock,"2025-05-09 14:00:00+00","2025-05-11 14:00:00+00",Somerset,auto,
https://www.alanranger.com/photographic-workshops-near-me/landscape-photography-workshops-yorkshire-coast,workshop,https://www.alanranger.com/photo-workshops-uk/north-yorkshire-landscape-photography,"NORTH YORKSHIRE Landscape Photography Workshop - May and Sep",1450,InStock,"2025-05-15 14:00:00+00","2025-05-18 14:00:00+00","North Yorkshire Moors and Coast",auto,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1-xx94r,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,"Lightroom Courses for Beginners Photo Editing - Coventry",19.99,InStock,"2025-05-21 19:00:00+00","2025-05-21 21:00:00+00",Coventry,auto,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk2-55f3d,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,"Lightroom Courses for Beginners Photo Editing - Coventry",19.99,InStock,"2025-05-28 19:00:00+00","2025-05-28 21:00:00+00",Coventry,auto,
https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk3-42ynf,course,https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry,"Lightroom Courses for Beginners Photo Editing - Coventry",19.99,InStock,"2025-06-04 19:00:00+00","2025-06-04 21:00:00+00",Coventry,auto,
https://www.alanranger.com/photographic-workshops-near-me/nant-mill-woodlands,workshop,https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-nant-mill,"NANT MILL Woodlands and Waterfalls Photo Workshop 30 May",125,InStock,"2025-06-07 10:00:00+00","2025-06-07 14:00:00+00",Wales,auto,
https://www.alanranger.com/beginners-photography-lessons/rps-courses-rps-distinctions-mentoring-4,course,https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course,"RPS Courses - Independent RPS Mentoring for RPS Distinctions",395,InStock,"2025-08-13 19:00:00+00","2025-08-13 21:00:00+00","Online - Virtual Class - Zoom Meeting",auto,
