idx,question,depth0_option,depth1_option,depth2_option
1,"How much is a residential photographyworkshop and does it include B&B","Photography equipment advice","Photography equipment advice","Photography equipment advice"
2,"What tripod do you recommend","Photography equipment advice","Photography equipment advice","Photography equipment advice"
3,"How do I get personalised feedback on my images","Private photography lessons","Private photography lessons","Private photography lessons"
4,"Is the online photography course really free","Photography equipment advice","Photography equipment advice","Photography equipment advice"
5,"What is long exposure and how can I find out more about it","Photography equipment advice","Photography equipment advice","Photography equipment advice"
6,"My pictures never seem sharp. Can you advise on what I am doing wrong","Photography equipment advice","Photography equipment advice","Photography equipment advice"
7,"Who is Alan Ranger and what is his photographic background?","His photography experience","His photography experience","His photography experience"
8,"Where is Alan Ranger based?","Photography equipment advice","Photography equipment advice","Photography equipment advice"
9,"What types of photography services do you offer?","Private photography lessons","Private photography lessons","Private photography lessons"
10,"How can I contact you or book a discovery call?","Photography equipment advice","Photography equipment advice","Photography equipment advice"
