"query","intent","event_url","product_url","pill_url"
"whens the next bluebell workshops and whats the cost","events","https://www.alanranger.com/photographic-workshops-near-me/bluebell-photography-photo-workshop-warwickshire-20","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops","https://www.alanranger.com/photo-workshops-uk/bluebell-woodlands-photography-workshops"
"when is the next devon workshop","events","https://www.alanranger.com/photographic-workshops-near-me/hartland-quay-devon-seascapes-ynfcl","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay"
"what is your next workshop date and where is it","advice",,,
"when are your next Autumn workshops and where are they?","events","https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops","https://www.alanranger.com/photo-workshops-uk/batsford-arboretum-photography-workshops"
"How much is a residential photography course and does it include B&B","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"What tripod do you recommend","advice",,,
"Do you I get a certificate with the photography course","advice",,,
"What sort of camera do I need for your camera course","advice",,,
"Do I need a laptop for the lightroom course","advice",,,
"Do you do astrophotography workshops","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"How do I get personalised feedback on my images","advice",,,
"Is the online photography course really free","advice",,,
"Can my 14yr old attend your workshop","events",,,
"What is long exposure and how can I find out more about it","advice",,,
"My pictures never seem sharp.  Can you advise on what I am doing wrong","advice",,,
"General / About / Navigation","advice",,,
"1. Who is Alan Ranger and what is his photographic background?","advice",,,
"2. Where is Alan Ranger based?","advice",,,
"3. What types of photography services do you offer?","advice",,,
"4. What is ?Pick N Mix? in the payment plans?","error","","",""
"5. How can I contact you or book a discovery call?","advice",,,
"6. Do you offer gift vouchers?","advice",,,
"7. What is your cancellation or refund policy for courses/workshops?","advice",,,
"8. How do I subscribe to the free online photography course?","advice",,,
"9. Where is your gallery and can I submit my images for feedback?","advice",,,
"10. What ethical guidelines do you follow as a photography tutor?","advice",,,
"Courses, Workshops & Tuition","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"11. What courses do you offer for complete beginners?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"12. Do you run evening classes in Coventry?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"13. How many weeks is the beginners? photography course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"14. Can I just take the ?Get Off Auto? class as a standalone?","error","","",""
"15. What topics are covered in the 5-week beginner course?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"16. What if I miss one of the weekly classes?can I make it up?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"17. Do you offer online or Zoom lessons / mentoring?","advice",,,
"18. How much do 1-2-1 private lessons cost?","advice",,,
"19. Do you offer residential workshops or multi-day field trips?","events","https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire"
"20. How many students per workshop / class?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"21. What gear or equipment do I need to bring to a workshop?","advice",,,
"22. Can I sign up to monthly mentoring assignments?","advice",,,
"23. Do you offer Lightroom / post-processing courses?","events","https://www.alanranger.com/beginners-photography-lessons/lightroom-photo-editing-classes-wk1","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry","https://www.alanranger.com/photography-services-near-me/lightroom-courses-for-beginners-coventry"
"24. What is RPS Mentoring, and can you help me with that?","advice",,,
"25. Are there any prerequisites for advanced courses?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"Services / Commercial & Private Shoots","advice",,,
"26. Do you do property photography / real estate photography?","advice",,,
"27. Can you do product photography for my e-commerce store?","advice",,,
"28. What is your pricing structure for portrait / headshot work?","advice",,,
"29. Do you train staff in corporate photography for businesses?","advice",,,
"30. How far will you travel for a shoot (within UK / internationally)?","advice",,,
"31. Do you provide retouching / editing services?","advice",,,
"32. Can I order fine art prints from you?","advice",,,
"33. What is your turnaround time for delivering images?","advice",,,
"34. Do you provide usage rights or licensing for your photos?","advice",,,
"35. Can I commission you for a commercial photography project?","advice",,,
"Booking, Payment & Logistics","advice",,,
"36. How do I book a course or workshop?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"37. What payment options are available?","advice",,,
"38. Do you offer payment plans or spreading the cost?","advice",,,
"39. What happens if a course is canceled due to low enrolment or weather?","events","https://www.alanranger.com/beginners-photography-lessons/camera-courses-for-beginners-coventry-zbcfe","https://www.alanranger.com/photography-services-near-me/beginners-photography-course","https://www.alanranger.com/photography-services-near-me/beginners-photography-course"
"40. What are the location details for your courses (venues, parking etc.)?","advice",,,
