idx,question,status,depth0_option,depth1_option,depth2_option,suspected_loop
1,"How much is a residential photographyworkshop and does it include B&B",ok,"","","",0
2,"What tripod do you recommend",ok,"","","",0
3,"How do I get personalised feedback on my images",ok,"","","",0
4,"Is the online photography course really free",ok,"","","",0
5,"What is long exposure and how can I find out more about it",ok,"","","",0
6,"My pictures never seem sharp. Can you advise on what I am doing wrong",ok,"","","",0
7,"Who is Alan Ranger and what is his photographic background?",ok,"","","",0
8,"Where is Alan Ranger based?",ok,"","","",0
9,"What types of photography services do you offer?",ok,"","","",0
10,"How can I contact you or book a discovery call?",ok,"","","",0
11,"What is your cancellation or refund policy for courses/workshops?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
12,"How do I subscribe to the free online photography course?",ok,"","","",0
13,"Where is your gallery and can I submit my images for feedback?",ok,"","","",0
14,"What ethical guidelines do you follow as a photography tutor?",ok,"","","",0
15,"What topics are covered in the 5-week beginner course?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
16,"What if I miss one of the weekly classes can I make it up?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
17,"Do you offer online or Zoom lessons / mentoring?",ok,"","","",0
18,"How much do 1-2-1 private lessons cost?",ok,"","","",0
19,"Can I sign up to monthly mentoring assignments?",ok,"","","",0
20,"Are there any prerequisites for advanced courses?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
21,"Do you do property photography / real estate photography?",ok,"","","",0
22,"Can you do product photography for my e-commerce store?",ok,"","","",0
23,"What is your pricing structure for portrait / headshot work?",ok,"","","",0
24,"Do you train staff in corporate photography for businesses?",ok,"","","",0
25,"How far will you travel for a shoot (within UK / internationally)?",ok,"","","",0
26,"Do you provide retouching / editing services?",ok,"","","",0
27,"What is your turnaround time for delivering images?",ok,"","","",0
28,"Do you provide usage rights or licensing for your photos?",ok,"","","",0
29,"Can I commission you for a commercial photography project?",ok,"","","",0
30,"What payment options are available?",ok,"","","",0
31,"Do you offer payment plans or spreading the cost?",ok,"","","",0
32,"What happens if a course is canceled due to low enrolment or weather?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
33,"What are the location details for your courses (venues, parking etc.)?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
34,"If a workshop is outdoors, what happens in bad weather?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
35,"Can I change the date of my booking?",ok,"","","",0
36,"How early should I arrive before a class or workshop begins?",ok,"Photography equipment advice","Photography equipment advice","Photography equipment advice",1
37,"Do you require a deposit, and when is full payment due?",ok,"","","",0
38,"How do I choose between shooting JPEG vs RAW?",ok,"","","",0
39,"What is the exposure triangle (aperture, shutter, ISO)?",ok,"","","",0
40,"How do I improve my composition and storytelling in photos?",ok,"","","",0
41,"When should I use ND filters or graduated filters?",ok,"","","",0
42,"What is depth of field, and how do I control it?",ok,"","","",0
43,"What is white balance and how do I use it?",ok,"","","",0
44,"How do I focus manually vs autofocus?",ok,"","","",0
45,"What is the difference between prime and zoom lenses?",ok,"","","",0
46,"How do I use flash photography?",ok,"","","",0
47,"What is HDR photography?",ok,"","","",0
48,"How do I shoot in low light?",ok,"","","",0
49,"What memory card should I buy?",ok,"","","",0
50,"Do I need a camera bag?",ok,"","","",0
51,"What is the best lens for portraits?",ok,"","","",0
52,"Should I buy a full-frame or crop sensor camera?",ok,"","","",0
53,"What accessories do I need for landscape photography?",ok,"","","",0
