idx,query,expected,detected,events,articles,pills,pass
3,"what is your next workshop date and where is it",event,events,71,0,4,FAIL
1,"whens the next bluebell workshops and whats the cost",event,events,71,0,4,FAIL
2,"when is the next devon workshop",event,events,71,0,4,FAIL
5,"How much is a residential photography course and does it include B&B",event,advice,0,8,2,FAIL
4,"when are your next Autumn workshops and where are they?",event,events,71,0,4,FAIL
6,"What tripod do you recommend",advice,advice,0,8,2,PASS
9,"Do I need a laptop for the lightroom course",advice,advice,0,8,2,PASS
7,"Do you I get a certificate with the photography course",advice,advice,0,8,2,PASS
8,"What sort of camera do I need for your camera course",advice,advice,0,8,2,PASS
11,"How do I get personalised feedback on my images",advice,,0,0,0,FAIL
12,"Is the online photography course really free",advice,advice,0,8,2,PASS
10,"Do you do astrophotography workshops",event,advice,0,4,2,FAIL
14,"What is long exposure and how can I find out more about it",advice,advice,0,8,2,PASS
13,"Can my 14yr old attend your workshop",event,advice,0,7,2,FAIL
15,"My pictures never seem sharp.  Can you advise on what I am doing wrong",advice,advice,0,4,2,PASS
